cps19_citizenship,cps19_age,cps19_province,cps19_education,cps19_gender,cps19_lr_parties_1,cps19_lr_parties_2,cps19_votechoice,cps19_income_number,cps19_income_cat,cps19_lr_scale_bef_1,vote_liberal,vote_conservative
Canadian citizen,20,Ontario,Some secondary/ high school,A woman,1,9,ndp,NA,"$60,001 to $90,000",1,0,0
Canadian citizen,23,Ontario,Some university,A man,5,10,Don't know/ Prefer not to answer,NA,Don't know/ Prefer not to answer,6,0,0
Canadian citizen,19,Ontario,Some university,A woman,2,9,Don't know/ Prefer not to answer,NA,"$30,001 to $60,000",NA,0,0
Canadian citizen,20,Ontario,Some university,A man,4,6,Liberal Party,15000,NA,NA,1,0
Canadian citizen,19,Ontario,Some university,A woman,7,2,ndp,NA,"$30,001 to $60,000",NA,0,0
Canadian citizen,19,Ontario,Some university,A man,NA,NA,Green Party,NA,"$90,001 to $110,000",NA,0,0
Canadian citizen,23,Ontario,Some university,A woman,7,10,ndp,NA,Don't know/ Prefer not to answer,0,0,0
Canadian citizen,21,Ontario,Completed secondary/ high school,A man,4,7,Liberal Party,NA,Don't know/ Prefer not to answer,3,1,0
Canadian citizen,20,Ontario,Completed secondary/ high school,A woman,1,8,ndp,NA,"$90,001 to $110,000",3,0,0
Canadian citizen,22,Ontario,Some university,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",5,7,Green Party,NA,"$90,001 to $110,000",0,0,0
Canadian citizen,20,Ontario,Some university,A woman,2,10,Liberal Party,27000,NA,NA,1,0
Canadian citizen,19,Ontario,Some university,A woman,2,10,Liberal Party,NA,"$60,001 to $90,000",NA,1,0
Canadian citizen,19,Ontario,Some university,A man,4,7,Liberal Party,NA,Don't know/ Prefer not to answer,4,1,0
Canadian citizen,20,Ontario,Some university,A woman,2,10,ndp,NA,"$60,001 to $90,000",0,0,0
Canadian citizen,21,Ontario,Some university,A woman,4,9,Liberal Party,NA,"$110,001 to $150,000",4,1,0
Canadian citizen,22,Ontario,Some university,A man,0,10,ndp,68000,NA,NA,0,0
Canadian citizen,23,Ontario,Bachelor's degree,A woman,5,8,ndp,NA,"$90,001 to $110,000",3,0,0
Canadian citizen,19,Ontario,Completed secondary/ high school,A man,3,7,Liberal Party,NA,"$30,001 to $60,000",3,1,0
Canadian citizen,19,Ontario,Some university,A woman,5,8,Liberal Party,NA,Don't know/ Prefer not to answer,4,1,0
Canadian citizen,19,Ontario,Some university,A woman,4,7,ndp,NA,"$90,001 to $110,000",NA,0,0
Canadian citizen,22,Ontario,Some secondary/ high school,A woman,0,10,ndp,NA,"$60,001 to $90,000",NA,0,0
Canadian citizen,19,Ontario,Completed secondary/ high school,A woman,6,10,ndp,25000,NA,2,0,0
Canadian citizen,20,Ontario,Completed secondary/ high school,A woman,3,7,Liberal Party,600000,NA,4,1,0
Canadian citizen,21,Ontario,Completed secondary/ high school,A woman,2,9,Liberal Party,11000,NA,NA,1,0
Canadian citizen,20,Ontario,Some university,A woman,3,8,Conservative Party,NA,Don't know/ Prefer not to answer,NA,0,1
Canadian citizen,22,Ontario,Some university,A man,3,4,Don't know/ Prefer not to answer,NA,"$60,001 to $90,000",4,0,0
Canadian citizen,22,Ontario,Bachelor's degree,A woman,NA,NA,Liberal Party,NA,"$1 to $30,000",NA,1,0
Canadian citizen,19,Ontario,Some university,A woman,2,9,Conservative Party,NA,Don't know/ Prefer not to answer,NA,0,1
Canadian citizen,23,Ontario,Completed secondary/ high school,A man,2,10,ndp,120000,NA,NA,0,0
Canadian citizen,22,Ontario,Some university,A man,3,7,Another party (please specify),45000,NA,NA,0,0
Canadian citizen,50,Ontario,"Some technical, community college, CEGEP, College Classique",A woman,5,5,Don't know/ Prefer not to answer,125000,NA,5,0,0
Canadian citizen,63,Quebec,"Completed technical, community college, CEGEP, College Classique",A woman,NA,NA,Liberal Party,20000,NA,5,1,0
Canadian citizen,72,Ontario,Bachelor's degree,A woman,3,8,Don't know/ Prefer not to answer,NA,"$30,001 to $60,000",NA,0,0
Canadian citizen,28,Ontario,Master's degree,A woman,10,0,ndp,NA,"$60,001 to $90,000",10,0,0
Canadian citizen,59,British Columbia,Bachelor's degree,A man,7,3,Conservative Party,75000,NA,5,0,1
Canadian citizen,60,Ontario,"Some technical, community college, CEGEP, College Classique",A woman,2,10,Liberal Party,200000,NA,5,1,0
Canadian citizen,63,Ontario,Professional degree or doctorate,A man,6,8,ndp,210000,NA,4,0,0
Canadian citizen,29,Ontario,Bachelor's degree,A woman,7,1,Liberal Party,50000,NA,NA,1,0
Canadian citizen,57,Ontario,"Some technical, community college, CEGEP, College Classique",A woman,4,10,Green Party,14000,NA,2,0,0
Canadian citizen,65,Alberta,Bachelor's degree,A man,4,6,Conservative Party,150000,NA,NA,0,1
Canadian citizen,63,Saskatchewan,Completed secondary/ high school,A woman,NA,NA,Conservative Party,NA,"$60,001 to $90,000",NA,0,1
Canadian citizen,44,Quebec,Some university,A man,0,8,Conservative Party,NA,"$1 to $30,000",NA,0,1
Canadian citizen,65,British Columbia,Bachelor's degree,A man,10,5,Liberal Party,65000,NA,5,1,0
Canadian citizen,41,Quebec,"Some technical, community college, CEGEP, College Classique",A man,1,5,Green Party,150000,NA,7,0,0
Canadian citizen,62,Ontario,Bachelor's degree,A man,5,7,Conservative Party,75000,NA,NA,0,1
Canadian citizen,42,Alberta,Bachelor's degree,A man,3,8,Liberal Party,60000,NA,6,1,0
Canadian citizen,32,Ontario,Bachelor's degree,A man,5,7,Liberal Party,100000,NA,NA,1,0
Canadian citizen,59,Ontario,Bachelor's degree,A man,3,9,Liberal Party,NA,Don't know/ Prefer not to answer,7,1,0
Canadian citizen,34,Ontario,"Completed technical, community college, CEGEP, College Classique",A man,5,9,Liberal Party,NA,Don't know/ Prefer not to answer,NA,1,0
Canadian citizen,67,British Columbia,Bachelor's degree,A woman,6,8,Liberal Party,NA,"$60,001 to $90,000",NA,1,0
Canadian citizen,66,British Columbia,Professional degree or doctorate,A woman,7,5,Don't know/ Prefer not to answer,NA,"$60,001 to $90,000",NA,0,0
Canadian citizen,67,Quebec,Master's degree,A man,9,8,Bloc Québécois,65000,NA,NA,0,0
Canadian citizen,37,Ontario,Completed secondary/ high school,A man,6,7,Green Party,22000,NA,NA,0,0
Canadian citizen,47,Ontario,Bachelor's degree,A man,0,7,Conservative Party,65000,NA,7,0,1
Canadian citizen,68,Ontario,Bachelor's degree,A woman,0,10,ndp,55000,NA,NA,0,0
Canadian citizen,63,Alberta,"Completed technical, community college, CEGEP, College Classique",A woman,2,9,Don't know/ Prefer not to answer,NA,"$150,001 to $200,000",NA,0,0
Canadian citizen,30,Ontario,Bachelor's degree,A man,8,8,Liberal Party,64000,NA,8,1,0
Canadian citizen,59,Quebec,Completed secondary/ high school,A man,NA,NA,Conservative Party,100000,NA,NA,0,1
Canadian citizen,61,British Columbia,Bachelor's degree,A woman,7,10,Green Party,20000,NA,NA,0,0
Canadian citizen,31,Quebec,"Completed technical, community college, CEGEP, College Classique",A woman,6,5,ndp,118000,NA,NA,0,0
Canadian citizen,65,Ontario,"Some technical, community college, CEGEP, College Classique",A woman,3,10,Liberal Party,20000,NA,NA,1,0
Canadian citizen,47,Alberta,"Completed technical, community college, CEGEP, College Classique",A woman,10,0,Conservative Party,75000,NA,0,0,1
Canadian citizen,64,Manitoba,Bachelor's degree,A woman,NA,NA,Liberal Party,NA,"$110,001 to $150,000",NA,1,0
Canadian citizen,69,Ontario,Bachelor's degree,A woman,8,3,ndp,45000,NA,NA,0,0
Canadian citizen,64,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique",A woman,1,8,Conservative Party,90000,NA,NA,0,1
Canadian citizen,49,Alberta,Master's degree,A man,6,4,Liberal Party,NA,Don't know/ Prefer not to answer,NA,1,0
Canadian citizen,65,Saskatchewan,"Completed technical, community college, CEGEP, College Classique",A man,3,10,Liberal Party,NA,"$90,001 to $110,000",3,1,0
Canadian citizen,76,Quebec,"Completed technical, community college, CEGEP, College Classique",A woman,9,10,Liberal Party,17500,NA,NA,1,0
Canadian citizen,55,Quebec,Bachelor's degree,A man,8,7,Conservative Party,36500,NA,9,0,1
Canadian citizen,56,British Columbia,"Some technical, community college, CEGEP, College Classique",A man,NA,NA,Don't know/ Prefer not to answer,38000,NA,NA,0,0
Canadian citizen,63,Saskatchewan,Bachelor's degree,A man,4,8,Conservative Party,130000,NA,6,0,1
Canadian citizen,46,Ontario,Bachelor's degree,A woman,4,10,Don't know/ Prefer not to answer,66000,NA,NA,0,0
Canadian citizen,69,Nova Scotia,Bachelor's degree,A man,NA,NA,Don't know/ Prefer not to answer,78000,NA,NA,0,0
Canadian citizen,38,Ontario,Master's degree,A woman,6,6,Conservative Party,NA,"$60,001 to $90,000",6,0,1
Canadian citizen,57,Prince Edward Island,"Completed technical, community college, CEGEP, College Classique",A man,0,0,Green Party,74000,NA,NA,0,0
Canadian citizen,68,British Columbia,"Some technical, community college, CEGEP, College Classique",A man,3,6,Conservative Party,91000,NA,NA,0,1
Canadian citizen,67,Alberta,Bachelor's degree,A man,2,7,Conservative Party,103000,NA,6,0,1
Canadian citizen,59,Quebec,Master's degree,A man,NA,9,Conservative Party,100000,NA,NA,0,1
Canadian citizen,28,Ontario,Bachelor's degree,A man,3,10,Liberal Party,101000,NA,6,1,0
Canadian citizen,63,Ontario,Some university,A man,3,7,Liberal Party,49000,NA,6,1,0
Canadian citizen,61,Alberta,Bachelor's degree,A man,3,7,Conservative Party,29000,NA,2,0,1
Canadian citizen,29,Quebec,Bachelor's degree,A woman,7,6,Conservative Party,56000,NA,NA,0,1
Canadian citizen,73,Ontario,Some university,A man,0,7,Conservative Party,NA,"$30,001 to $60,000",9,0,1
Canadian citizen,69,Ontario,Some secondary/ high school,A woman,0,10,Conservative Party,75000,NA,7,0,1
Canadian citizen,67,Ontario,Bachelor's degree,A man,NA,NA,Don't know/ Prefer not to answer,NA,Don't know/ Prefer not to answer,NA,0,0
Canadian citizen,76,Quebec,Completed secondary/ high school,A woman,6,4,Don't know/ Prefer not to answer,NA,Don't know/ Prefer not to answer,6,0,0
Canadian citizen,49,Quebec,"Completed technical, community college, CEGEP, College Classique",A woman,8,6,Liberal Party,63500,NA,7,1,0
Canadian citizen,62,Ontario,Completed secondary/ high school,A woman,4,6,Conservative Party,49000,NA,NA,0,1
Canadian citizen,47,Nova Scotia,Professional degree or doctorate,A man,4,7,Conservative Party,NA,"$90,001 to $110,000",7,0,1
Canadian citizen,54,Ontario,Bachelor's degree,A woman,NA,NA,Liberal Party,55000,NA,NA,1,0
Canadian citizen,55,Quebec,Completed secondary/ high school,A woman,5,5,Green Party,29000,NA,5,0,0
Canadian citizen,58,Ontario,Some secondary/ high school,A woman,4,7,Green Party,54000,NA,NA,0,0
Canadian citizen,41,Manitoba,"Completed technical, community college, CEGEP, College Classique",A woman,10,2,Liberal Party,25000,NA,10,1,0
Canadian citizen,54,Quebec,Master's degree,A man,5,8,Bloc Québécois,83000,NA,5,0,0
Canadian citizen,34,Alberta,Bachelor's degree,A woman,4,10,Conservative Party,165000,NA,10,0,1
Canadian citizen,66,British Columbia,"Some technical, community college, CEGEP, College Classique",A woman,3,7,Conservative Party,125000,NA,NA,0,1
Canadian citizen,48,Quebec,"Some technical, community college, CEGEP, College Classique",A woman,NA,NA,Liberal Party,48000,NA,NA,1,0
Canadian citizen,68,British Columbia,Master's degree,A man,4,9,Liberal Party,94000,NA,NA,1,0
Canadian citizen,53,Ontario,Completed secondary/ high school,A woman,NA,NA,Liberal Party,NA,"$30,001 to $60,000",5,1,0
Canadian citizen,68,Nova Scotia,Some university,A man,NA,2,Liberal Party,32000,NA,NA,1,0
Canadian citizen,65,Quebec,Completed secondary/ high school,A woman,NA,NA,Liberal Party,60000,NA,NA,1,0
Canadian citizen,28,Quebec,Bachelor's degree,A woman,6,10,Liberal Party,84000,NA,6,1,0
Canadian citizen,40,Manitoba,"Completed technical, community college, CEGEP, College Classique",A woman,NA,8,Green Party,NA,"$110,001 to $150,000",6,0,0
Canadian citizen,28,Quebec,Bachelor's degree,A woman,2,9,Don't know/ Prefer not to answer,75000,NA,NA,0,0
Canadian citizen,69,Ontario,"Some technical, community college, CEGEP, College Classique",A man,NA,NA,Green Party,42000,NA,NA,0,0
Canadian citizen,35,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,0,10,Liberal Party,38799,NA,0,1,0
Canadian citizen,34,New Brunswick,Bachelor's degree,A man,NA,NA,Liberal Party,49000,NA,NA,1,0
Canadian citizen,56,Alberta,Bachelor's degree,A man,0,8,Conservative Party,NA,"$60,001 to $90,000",8,0,1
Canadian citizen,28,Ontario,Bachelor's degree,A woman,NA,NA,Conservative Party,120000,NA,NA,0,1
Canadian citizen,68,Quebec,Completed secondary/ high school,A woman,NA,NA,Liberal Party,20000,NA,NA,1,0
Canadian citizen,50,Ontario,"Completed technical, community college, CEGEP, College Classique",A man,3,9,Green Party,45000,NA,NA,0,0
Canadian citizen,39,Ontario,Bachelor's degree,A woman,6,8,Conservative Party,NA,"$110,001 to $150,000",6,0,1
Canadian citizen,61,Alberta,Some university,A man,4,7,Liberal Party,39000,NA,NA,1,0
Canadian citizen,74,Ontario,Some university,A man,5,8,Liberal Party,73000,NA,3,1,0
Canadian citizen,54,Manitoba,"Some technical, community college, CEGEP, College Classique",A man,4,10,Conservative Party,65000,NA,NA,0,1
Canadian citizen,40,Manitoba,Professional degree or doctorate,A man,5,8,Liberal Party,230000,NA,4,1,0
Canadian citizen,60,Manitoba,Completed secondary/ high school,A woman,7,7,Conservative Party,NA,"$90,001 to $110,000",7,0,1
Canadian citizen,54,British Columbia,Master's degree,A woman,3,8,Liberal Party,190000,NA,4,1,0
Canadian citizen,46,Quebec,"Some technical, community college, CEGEP, College Classique",A woman,5,10,Another party (please specify),13000,NA,1,0,0
Canadian citizen,60,Quebec,Completed secondary/ high school,A woman,NA,NA,Don't know/ Prefer not to answer,NA,"$1 to $30,000",NA,0,0
Canadian citizen,59,Quebec,"Completed technical, community college, CEGEP, College Classique",A man,NA,NA,Conservative Party,24100,NA,5,0,1
Canadian citizen,63,Ontario,"Some technical, community college, CEGEP, College Classique",A man,7,7,Don't know/ Prefer not to answer,75000,NA,7,0,0
Canadian citizen,67,Ontario,Bachelor's degree,A man,4,6,Conservative Party,NA,"$150,001 to $200,000",NA,0,1
Canadian citizen,51,Ontario,Bachelor's degree,A man,0,9,Conservative Party,81000,NA,NA,0,1
Canadian citizen,72,Ontario,Completed secondary/ high school,A man,NA,NA,ndp,61000,NA,NA,0,0
Canadian citizen,56,Quebec,"Some technical, community college, CEGEP, College Classique",A woman,NA,NA,Conservative Party,24000,NA,NA,0,1
Canadian citizen,37,Saskatchewan,Completed secondary/ high school,A woman,NA,NA,Don't know/ Prefer not to answer,80000,NA,NA,0,0
Canadian citizen,60,Quebec,Professional degree or doctorate,A woman,5,10,Liberal Party,280000,NA,5,1,0
Canadian citizen,81,Ontario,Master's degree,A man,2,8,Conservative Party,95000,NA,NA,0,1
Canadian citizen,63,Ontario,Master's degree,A man,4,9,ndp,105000,NA,NA,0,0
Canadian citizen,39,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,NA,NA,Don't know/ Prefer not to answer,NA,"$30,001 to $60,000",NA,0,0
Canadian citizen,63,Ontario,Some university,A man,NA,NA,Conservative Party,76000,NA,NA,0,1
Canadian citizen,61,Ontario,Master's degree,A woman,7,6,Don't know/ Prefer not to answer,75000,NA,NA,0,0
Canadian citizen,65,Ontario,"Completed technical, community college, CEGEP, College Classique",A man,4,9,Conservative Party,110000,NA,8,0,1
Canadian citizen,72,Quebec,"Completed technical, community college, CEGEP, College Classique",A woman,0,9,Conservative Party,49000,NA,8,0,1
Canadian citizen,99,Ontario,Bachelor's degree,A woman,5,10,Don't know/ Prefer not to answer,NA,"$60,001 to $90,000",4,0,0
Canadian citizen,81,Ontario,Some secondary/ high school,A man,2,9,Conservative Party,NA,"$30,001 to $60,000",NA,0,1
Canadian citizen,37,Ontario,Bachelor's degree,A man,5,7,Conservative Party,78500,NA,NA,0,1
Canadian citizen,52,Nova Scotia,"Some technical, community college, CEGEP, College Classique",A man,2,2,Green Party,149500,NA,2,0,0
Canadian citizen,55,Alberta,Professional degree or doctorate,A man,0,7,Don't know/ Prefer not to answer,NA,Don't know/ Prefer not to answer,9,0,0
Canadian citizen,49,Ontario,Bachelor's degree,A woman,3,8,Liberal Party,55000,NA,3,1,0
Canadian citizen,81,Ontario,Some university,A man,3,8,Conservative Party,42000,NA,7,0,1
Canadian citizen,66,Ontario,Don't know/ Prefer not to answer,A man,7,8,ndp,NA,Don't know/ Prefer not to answer,3,0,0
Canadian citizen,73,Ontario,Some university,A man,4,10,Liberal Party,160000,NA,4,1,0
Canadian citizen,30,Quebec,Completed secondary/ high school,A woman,NA,NA,Don't know/ Prefer not to answer,28000,NA,NA,0,0
Canadian citizen,53,Ontario,Bachelor's degree,A woman,9,9,Conservative Party,95000,NA,8,0,1
Canadian citizen,57,Ontario,Completed secondary/ high school,A man,NA,NA,Don't know/ Prefer not to answer,NA,"$30,001 to $60,000",6,0,0
Canadian citizen,84,Ontario,Professional degree or doctorate,A man,3,NA,Don't know/ Prefer not to answer,72000,NA,NA,0,0
Canadian citizen,69,Ontario,Completed secondary/ high school,A man,NA,NA,Don't know/ Prefer not to answer,79000,NA,NA,0,0
Canadian citizen,80,Ontario,"Completed technical, community college, CEGEP, College Classique",A man,NA,6,Conservative Party,250000,NA,NA,0,1
Canadian citizen,25,Ontario,Bachelor's degree,A man,10,0,Liberal Party,52000,NA,NA,1,0
Canadian citizen,36,Ontario,Bachelor's degree,A man,7,4,Liberal Party,55000,NA,NA,1,0
Canadian citizen,60,Ontario,Completed secondary/ high school,A woman,5,6,Conservative Party,80000,NA,NA,0,1
Canadian citizen,69,Ontario,Master's degree,A man,0,3,Another party (please specify),19750,NA,7,0,0
Canadian citizen,58,Ontario,Bachelor's degree,A woman,8,8,Conservative Party,65000,NA,NA,0,1
Canadian citizen,49,Ontario,Bachelor's degree,A woman,3,10,Green Party,49000,NA,2,0,0
Canadian citizen,63,Quebec,Bachelor's degree,A man,8,9,Liberal Party,50000,NA,7,1,0
Canadian citizen,19,Ontario,Completed secondary/ high school,A woman,3,7,Liberal Party,35600,NA,NA,1,0
Canadian citizen,26,Ontario,Bachelor's degree,A woman,0,10,Green Party,54000,NA,NA,0,0
Canadian citizen,64,Quebec,"Some technical, community college, CEGEP, College Classique",A man,5,5,Conservative Party,63000,NA,NA,0,1
Canadian citizen,62,Ontario,Bachelor's degree,A man,0,8,Conservative Party,124000,NA,NA,0,1
Canadian citizen,57,New Brunswick,Bachelor's degree,A man,4,9,Don't know/ Prefer not to answer,27000,NA,NA,0,0
Canadian citizen,65,Quebec,"Some technical, community college, CEGEP, College Classique",A woman,6,6,Bloc Québécois,39000,NA,NA,0,0
Canadian citizen,66,Ontario,"Completed technical, community college, CEGEP, College Classique",A man,9,3,Liberal Party,41000,NA,NA,1,0
Canadian citizen,60,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,8,3,Liberal Party,98000,NA,NA,1,0
Canadian citizen,43,Ontario,Bachelor's degree,A man,3,9,ndp,NA,Don't know/ Prefer not to answer,3,0,0
Canadian citizen,63,Quebec,"Completed technical, community college, CEGEP, College Classique",A man,NA,4,Don't know/ Prefer not to answer,70000,NA,5,0,0
Canadian citizen,58,Nova Scotia,"Completed technical, community college, CEGEP, College Classique",A man,7,10,ndp,59000,NA,NA,0,0
Canadian citizen,55,Quebec,Bachelor's degree,A man,2,6,Conservative Party,190000,NA,NA,0,1
Canadian citizen,58,Quebec,Completed secondary/ high school,A woman,6,6,Don't know/ Prefer not to answer,115000,NA,NA,0,0
Canadian citizen,74,Ontario,"Completed technical, community college, CEGEP, College Classique",A man,7,6,Liberal Party,70000,NA,NA,1,0
Canadian citizen,42,Ontario,"Some technical, community college, CEGEP, College Classique",A man,4,4,ndp,NA,"More than $200,000",NA,0,0
Canadian citizen,56,Ontario,Completed secondary/ high school,A man,NA,NA,ndp,NA,"$1 to $30,000",NA,0,0
Canadian citizen,36,Ontario,Completed secondary/ high school,A woman,5,9,Green Party,NA,"$1 to $30,000",2,0,0
Canadian citizen,73,Ontario,Professional degree or doctorate,A man,NA,NA,Conservative Party,34000,NA,5,0,1
Canadian citizen,42,Quebec,Completed elementary school,A woman,3,3,Liberal Party,20000,NA,NA,1,0
Canadian citizen,36,Ontario,Completed secondary/ high school,A man,3,7,Liberal Party,65000,NA,NA,1,0
Canadian citizen,50,Ontario,Bachelor's degree,A woman,4,7,Conservative Party,85900,NA,NA,0,1
Canadian citizen,73,Quebec,"Completed technical, community college, CEGEP, College Classique",A man,5,9,Bloc Québécois,NA,Don't know/ Prefer not to answer,NA,0,0
Canadian citizen,40,Ontario,Master's degree,A woman,1,1,Don't know/ Prefer not to answer,NA,Don't know/ Prefer not to answer,NA,0,0
Canadian citizen,82,Ontario,Master's degree,A man,6,9,Liberal Party,NA,Don't know/ Prefer not to answer,6,1,0
Canadian citizen,80,Ontario,Master's degree,A man,NA,9,Don't know/ Prefer not to answer,134000,NA,NA,0,0
Canadian citizen,55,Ontario,"Some technical, community college, CEGEP, College Classique",A man,3,6,Green Party,90000,NA,6,0,0
Canadian citizen,71,Ontario,Professional degree or doctorate,A woman,3,9,ndp,36000,NA,1,0,0
Canadian citizen,42,Ontario,Bachelor's degree,A man,4,8,Liberal Party,175000,NA,4,1,0
Canadian citizen,32,Alberta,Bachelor's degree,A man,2,10,Conservative Party,67000,NA,NA,0,1
Canadian citizen,77,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,2,6,Green Party,74000,NA,NA,0,0
Canadian citizen,57,Quebec,Bachelor's degree,A man,8,3,Bloc Québécois,125000,NA,NA,0,0
Canadian citizen,56,Ontario,Bachelor's degree,A man,6,8,Liberal Party,200000,NA,6,1,0
Canadian citizen,60,Ontario,Bachelor's degree,A man,7,5,Liberal Party,145000,NA,7,1,0
Canadian citizen,64,Newfoundland and Labrador,Bachelor's degree,A man,4,7,Conservative Party,16000,NA,7,0,1
Canadian citizen,23,Quebec,Completed secondary/ high school,A woman,5,5,Green Party,2,NA,5,0,0
Canadian citizen,68,Ontario,Some secondary/ high school,A woman,NA,NA,Don't know/ Prefer not to answer,49000,NA,NA,0,0
Canadian citizen,28,Ontario,Master's degree,A man,8,6,Liberal Party,75000,NA,NA,1,0
Canadian citizen,72,Ontario,Bachelor's degree,A man,4,9,Liberal Party,85000,NA,4,1,0
Canadian citizen,64,Quebec,Completed secondary/ high school,A woman,5,5,Don't know/ Prefer not to answer,NA,"$30,001 to $60,000",NA,0,0
Canadian citizen,40,Ontario,Master's degree,A woman,2,8,Conservative Party,99000,NA,NA,0,1
