sex,age,province,education,citizenship_status,income_respondent
Male,80,British Columbia,High school diploma or a high school equivalency certificate,Valid skip,"$25,000 to $49,999"
Female,42.3,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Male,44.3,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,26.7,British Columbia,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,24.1,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,41.1,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,26.1,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Female,31.5,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Female,57.9,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$25,000 to $49,999"
Female,15.4,Ontario,Less than high school diploma or its equivalent,Valid skip,"Less than $25,000"
Female,16.4,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,41.7,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,24.9,Manitoba,Less than high school diploma or its equivalent,Valid skip,"Less than $25,000"
Male,54,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$100,000 to $ 124,999"
Male,17.1,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,63.9,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$50,000 to $74,999"
Female,57.8,Ontario,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,74.8,Newfoundland and Labrador,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,41.1,Nova Scotia,High school diploma or a high school equivalency certificate,By birth,"$75,000 to $99,999"
Male,59.9,Newfoundland and Labrador,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,80,Ontario,"University certificate, diploma or degree above the bach...",By naturalization,"$25,000 to $49,999"
Male,53.3,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Male,35.2,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"Less than $25,000"
Male,80,Ontario,"College, CEGEP or other non-university certificate or di...",By naturalization,"Less than $25,000"
Female,73.3,Manitoba,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,80,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Female,72.3,British Columbia,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,56.3,New Brunswick,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Female,64.9,Ontario,"College, CEGEP or other non-university certificate or di...",By naturalization,"$75,000 to $99,999"
Male,29.8,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$50,000 to $74,999"
Male,71,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,33,Prince Edward Island,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,25.3,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,63.4,British Columbia,"University certificate, diploma or degree above the bach...",By naturalization,"Less than $25,000"
Male,79,Quebec,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Male,43.3,British Columbia,"NA",By birth,"$25,000 to $49,999"
Female,57.3,Ontario,High school diploma or a high school equivalency certificate,By naturalization,"$25,000 to $49,999"
Female,45.3,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$125,000 and more"
Male,55.8,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$75,000 to $99,999"
Female,24.2,Saskatchewan,"College, CEGEP or other non-university certificate or di...",Valid skip,"Less than $25,000"
Male,47.7,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,41.4,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$125,000 and more"
Female,64.3,Nova Scotia,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,80,Alberta,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,29.3,British Columbia,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Male,79.1,Newfoundland and Labrador,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Male,59.3,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"$125,000 and more"
Male,47.3,Saskatchewan,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Female,35.9,Alberta,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,22.5,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Female,53.8,Saskatchewan,High school diploma or a high school equivalency certificate,Valid skip,"$25,000 to $49,999"
Female,51.4,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$75,000 to $99,999"
Male,45,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,72.1,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$25,000 to $49,999"
Female,73,New Brunswick,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,70.8,British Columbia,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Male,63.8,Ontario,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,46.8,Quebec,Less than high school diploma or its equivalent,Valid skip,"$25,000 to $49,999"
Female,58.1,Ontario,"College, CEGEP or other non-university certificate or di...",By naturalization,"$50,000 to $74,999"
Female,36.5,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Female,60.3,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Male,66.1,Manitoba,Less than high school diploma or its equivalent,By birth,"$50,000 to $74,999"
Male,78.2,Ontario,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Male,33.9,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$125,000 and more"
Female,76.6,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$25,000 to $49,999"
Female,74.8,New Brunswick,Trade certificate or diploma,By birth,"$25,000 to $49,999"
Female,70.6,British Columbia,Less than high school diploma or its equivalent,By naturalization,"$25,000 to $49,999"
Male,27.8,Quebec,"College, CEGEP or other non-university certificate or di...",Valid skip,"$25,000 to $49,999"
Male,80,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,39.6,Prince Edward Island,University certificate or diploma below the bachelor's level,By birth,"$50,000 to $74,999"
Male,30.8,Ontario,University certificate or diploma below the bachelor's level,By birth,"Less than $25,000"
Male,69.6,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$75,000 to $99,999"
Female,56.3,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Female,76.8,Ontario,Less than high school diploma or its equivalent,Valid skip,"$25,000 to $49,999"
Male,30.9,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Male,80,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,33.3,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,63.8,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Female,57,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"Less than $25,000"
Female,41.3,British Columbia,"University certificate, diploma or degree above the bach...",By birth,"$75,000 to $99,999"
Female,18.3,Ontario,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,40.4,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,48.9,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,65.3,Ontario,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,29.7,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,33.1,Alberta,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,25.8,British Columbia,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,39.3,British Columbia,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,69.9,Quebec,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,67.1,Saskatchewan,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,31.8,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,61.1,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,65.6,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$125,000 and more"
Male,59,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,63.3,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Male,43.9,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$100,000 to $ 124,999"
Female,51.3,New Brunswick,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,52.9,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,40.6,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$25,000 to $49,999"
Female,76.6,Newfoundland and Labrador,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,16.7,Alberta,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,62.3,Newfoundland and Labrador,Trade certificate or diploma,By birth,"$75,000 to $99,999"
Male,57.2,Alberta,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,80,Ontario,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Male,69.2,British Columbia,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,64.9,Nova Scotia,High school diploma or a high school equivalency certificate,By naturalization,"$25,000 to $49,999"
Male,70.6,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,73.4,Nova Scotia,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,80,Ontario,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,67.4,Saskatchewan,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,61.8,Ontario,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Male,67.4,Ontario,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Male,47.3,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Female,52.6,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,20.3,Manitoba,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,31.6,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Male,78,Ontario,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Female,24.3,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,50,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Male,63.1,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,62,Quebec,"University certificate, diploma or degree above the bach...",By birth,"$50,000 to $74,999"
Female,36.4,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,63.1,Ontario,Less than high school diploma or its equivalent,By birth,"$50,000 to $74,999"
Female,68.2,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,Valid skip,"$25,000 to $49,999"
Male,53.5,Newfoundland and Labrador,"University certificate, diploma or degree above the bach...",By birth,"$125,000 and more"
Male,51.2,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Valid skip,"$25,000 to $49,999"
Male,68,Ontario,High school diploma or a high school equivalency certificate,By birth,"$75,000 to $99,999"
Female,57.5,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$100,000 to $ 124,999"
Male,51.5,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Male,34.9,British Columbia,Less than high school diploma or its equivalent,By birth,"$50,000 to $74,999"
Female,54.2,Saskatchewan,"NA",By birth,"$25,000 to $49,999"
Male,68,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$100,000 to $ 124,999"
Female,61.7,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,24.3,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Female,71.6,Prince Edward Island,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Male,68.3,Quebec,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,59.2,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$125,000 and more"
Female,41.4,New Brunswick,University certificate or diploma below the bachelor's level,By birth,"$50,000 to $74,999"
Female,66.8,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Female,56.2,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Male,69.3,British Columbia,High school diploma or a high school equivalency certificate,By naturalization,"Less than $25,000"
Male,76.6,British Columbia,"University certificate, diploma or degree above the bach...",By birth,"$100,000 to $ 124,999"
Female,53.7,Ontario,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,76,Prince Edward Island,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,33,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Valid skip,"Less than $25,000"
Female,30.6,Saskatchewan,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,53.9,British Columbia,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,53.3,Ontario,Trade certificate or diploma,By birth,"$125,000 and more"
Male,70.5,Ontario,Trade certificate or diploma,By birth,"$50,000 to $74,999"
Male,65.3,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,72.5,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,37,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Male,31.2,Quebec,Trade certificate or diploma,By birth,"$25,000 to $49,999"
Female,53.7,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,80,Ontario,Less than high school diploma or its equivalent,By naturalization,"Less than $25,000"
Female,61.8,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Female,45.8,Newfoundland and Labrador,"University certificate, diploma or degree above the bach...",By birth,"$75,000 to $99,999"
Female,65.1,Ontario,"NA",By naturalization,"Less than $25,000"
Male,52.3,Ontario,High school diploma or a high school equivalency certificate,By naturalization,"$75,000 to $99,999"
Female,32.3,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,66.8,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,65.6,British Columbia,"University certificate, diploma or degree above the bach...",By birth,"Less than $25,000"
Female,63.8,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$100,000 to $ 124,999"
Male,80,Ontario,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,67.8,Nova Scotia,Trade certificate or diploma,By birth,"Less than $25,000"
Male,66.8,Saskatchewan,Trade certificate or diploma,By birth,"Less than $25,000"
Female,61.9,British Columbia,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,71.3,Ontario,High school diploma or a high school equivalency certificate,By naturalization,"Less than $25,000"
Male,40.4,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Female,26,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,57.3,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"$100,000 to $ 124,999"
Male,35.9,Saskatchewan,High school diploma or a high school equivalency certificate,By birth,"$75,000 to $99,999"
Male,63.1,Alberta,Trade certificate or diploma,By birth,"$25,000 to $49,999"
Female,38.8,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Male,75,Prince Edward Island,Less than high school diploma or its equivalent,By naturalization,"$50,000 to $74,999"
Male,63.3,Quebec,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,65.5,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Female,19.5,Alberta,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,72.3,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,27.8,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Male,45.2,Ontario,"College, CEGEP or other non-university certificate or di...",By naturalization,"Less than $25,000"
Female,62.6,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,28.5,Quebec,"University certificate, diploma or degree above the bach...",By naturalization,"Less than $25,000"
Female,56.7,Saskatchewan,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,58.3,Manitoba,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,60.8,Alberta,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,66.3,Nova Scotia,High school diploma or a high school equivalency certificate,By naturalization,"$50,000 to $74,999"
Male,62.7,Ontario,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,32.9,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",By birth,"$100,000 to $ 124,999"
Male,39.3,Quebec,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Female,56.5,British Columbia,High school diploma or a high school equivalency certificate,By naturalization,"$25,000 to $49,999"
Male,34.1,Manitoba,"University certificate, diploma or degree above the bach...",Valid skip,"$50,000 to $74,999"
Female,47.6,Nova Scotia,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,22.4,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,65.3,British Columbia,High school diploma or a high school equivalency certificate,By birth,"$75,000 to $99,999"
Female,22,Manitoba,Less than high school diploma or its equivalent,Valid skip,"Less than $25,000"
Female,49.6,Alberta,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,22.7,Nova Scotia,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,65.5,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$100,000 to $ 124,999"
Female,34.9,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Male,50.1,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Male,37.2,Alberta,"University certificate, diploma or degree above the bach...",Valid skip,"$100,000 to $ 124,999"
Female,80,British Columbia,"College, CEGEP or other non-university certificate or di...",By naturalization,"Less than $25,000"
Female,61.8,Quebec,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,59.7,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,41.9,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,By birth,"$75,000 to $99,999"
Male,65.6,Ontario,University certificate or diploma below the bachelor's level,By naturalization,"$25,000 to $49,999"
Male,17.3,Ontario,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,80,Saskatchewan,Trade certificate or diploma,By birth,"$25,000 to $49,999"
Male,76.8,British Columbia,High school diploma or a high school equivalency certificate,Valid skip,"$25,000 to $49,999"
Female,35.8,British Columbia,High school diploma or a high school equivalency certificate,By birth,"$75,000 to $99,999"
Male,66.7,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,26.5,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,55.1,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
